ImageId,x,y,z
ID_5f6526a36,414.744,689.119,3486.53
ID_5f6526a36,519.834,667.847,3502.94
ID_08b42e64c,347.853,145.564,509.744
ID_8eb2669b5,-17.9391,81.1464,462.215
ID_efa93b990,44.2509,79.3441,404.706
ID_07375a6d5,-5.92908,65.9292,397.807
ID_6790d653a,119.455,58.5717,278.338
ID_6790d653a,122.302,52.7323,280.076
ID_90e909712,-11.2039,50.2327,295.85
ID_f4f80c710,-2.72284,49.4819,305.892
ID_534ba0ac4,-0.269722,47.7642,255.058
ID_f32a96913,3.35785,46.4908,282.563
ID_cf1ab9cc0,-8.34943,45.7155,268.69
ID_d005526a7,-47.8706,44.739,265.478
ID_7c861e895,-32.8981,44.0105,279.719
ID_983c1e248,-13.5222,43.3249,252.967
ID_36e56f51c,-12.6697,43.3109,270.632
ID_ad4474603,-11.2403,43.2536,247.745
ID_9e4c3af75,-3.18937,43.1581,263.926
ID_d6331ccf9,0.744138,43.0204,259.323
ID_534ba0ac4,-9.90315,42.9371,230.103
ID_b02cee673,-54.0001,42.8197,268.716
ID_7d49a1db9,-45.1874,42.6906,271.532
ID_fa2998277,19.8646,42.683,251.995
ID_7b8967cb0,-5.60526,42.2413,247.538
ID_96a20096b,4.06355,42.1382,265.491
ID_88833c3ee,7.47752,42.0748,46.8063
ID_bdd08f0f8,-9.27396,41.9905,262.516
ID_16d084b43,-9.11602,41.8724,272.172
ID_7b8967cb0,-29.218,41.8685,248.159
ID_d6331ccf9,-4.31841,41.8635,252.264
ID_441886a76,-35.5578,41.3491,263.208
ID_6e9fe6af1,-5.66016,41.2393,245.179
ID_166c05a91,-12.7241,41.1746,240.562
ID_6367c3fff,0.515045,40.8808,242.834
ID_149647474,-46.4382,40.5807,240.943
ID_be4698ce8,13.6945,40.4429,226.805
ID_012aef661,-5.6473,40.3704,242.873
ID_f79e23bf5,-18.9001,40.3394,262.932
ID_32289333c,-31.4942,40.3156,259.581
ID_2f99afb16,-9.62294,39.996,220.009
ID_2e9d7873d,-8.09385,39.9368,236.525
ID_534ba0ac4,-6.60922,39.8838,211.561
ID_5f18e86f3,-32.8545,39.5236,241.625
ID_d6331ccf9,-29.1525,39.4971,243.605
ID_d6331ccf9,-5.12021,39.4859,239.11
ID_9f3f0a78a,-8.10574,39.4145,229.656
ID_d6331ccf9,-32.8593,39.3594,243.664
ID_6bb20ff30,6.94895,39.289,235.949
ID_750c68912,-19.7634,39.27,246.338
ID_2acf84328,-21.0965,39.2653,240.484
ID_7dcacedd5,11.5782,39.1221,237.948
ID_c4f92b64e,-6.07307,38.9813,231.86
ID_5ce45c160,-0.52722,38.9134,240.256
ID_3f658c1f9,44.9654,38.6627,214.114
ID_d7ffe5830,31.4671,38.6169,220.564
ID_2e9d7873d,-2.87296,38.5132,225.745
ID_534ba0ac4,-11.2108,38.4603,206.044
ID_2e9d7873d,-0.443566,38.4285,225.868
ID_3583071f6,-1.42394,38.3735,215.089
ID_5ce45c160,-9.28175,38.3361,239.097
ID_973bfd1fb,-6.0281,38.0345,222.465
ID_d87068c8e,-69.9107,38.0153,227.99
ID_51f3c0953,6.01132,38.0027,236.786
ID_066750276,0.158974,37.9176,212.871
ID_499da4132,-4.98408,37.8757,229.466
ID_d0cf6475e,15.3714,37.8583,221.56
ID_44fa78daa,-22.3641,37.4345,224.378
ID_7d49a1db9,-29.3593,36.9613,224.238
ID_2d2fff4cc,-61.6145,36.9248,222.301
ID_d87068c8e,-66.946,36.8777,229.02
ID_8c5850283,-4.97739,36.741,222.346
ID_cc7290959,0.277816,36.7366,226.57
ID_c555f0edd,-5.27565,36.661,203.494
ID_6502e3a9d,-10.3116,36.5631,201.178
ID_df134dd43,-18.6543,36.4169,224.021
ID_d0cf6475e,10.5168,36.2448,209.847
ID_f45e0c82e,122.282,36.1446,170.212
ID_f865e2a0d,-4.86066,36.1396,212.571
ID_befcefadb,-26.1497,36.1184,221.598
ID_f1354858c,0.427769,35.8015,231.857
ID_ac946f5f9,-52.9528,35.7298,175.239
ID_d2f80a8de,-10.3324,35.6389,210.248
ID_a89688b6e,71.742,35.4892,179.448
ID_be4698ce8,1.82301,35.487,201.067
ID_0260428a6,17.536,35.4624,205.194
ID_ba123226f,-6.4818,35.441,216.334
ID_cdb292aa4,-3.09284,35.3717,252.03
ID_f64511e66,20.8944,35.3226,205.277
ID_eafe67422,-27.88,35.2524,213.356
ID_dfd1abfab,-11.9587,35.0268,208.445
ID_b42125d61,1.3762,34.8341,213.527
ID_ac121d381,16.7069,34.8306,192.09
ID_149647474,-2.04916,34.7724,204.216
ID_5f8f50a1b,-15.8711,34.7551,219.626
ID_297d3bc4c,-28.6895,34.7507,242.793
ID_34821aed0,3.59239,34.6823,202.518
ID_605cf1d46,-31.2931,34.6668,217.482
ID_bc0ddb93b,4.97264,34.6537,208.922
ID_441886a76,-21.1117,34.5869,230.468
ID_df134dd43,-2.87763,34.4943,211.326
ID_be8a2ce07,-1.49125,34.4797,211.049
ID_327979358,4.92735,34.4248,207.322
ID_0b0be29be,-45.5555,34.3766,202.399
ID_a4138397b,-2.87077,34.3683,221.078
ID_28ffad68c,5.36568,34.2965,192.572
ID_df134dd43,-13.3853,34.2962,212.148
ID_eafe67422,-20.2047,34.2353,206.571
ID_0b4cab808,27.2679,34.2264,178.943
ID_c0d3f4329,1.56596,34.1634,202.146
ID_fee391a62,-7.61095,34.1292,190.862
ID_8da41522e,-3.48674,34.0604,202.806
ID_ba0a13999,-24.3818,34.0461,217.192
ID_0db064a7c,4.36636,33.9246,193.804
ID_cf1ab9cc0,0.52931,33.9222,197.896
ID_cf1ab9cc0,-1.78797,33.8717,197.891
